ID	名称
int	string
Id	Name
1	青芒派
2	草莓派
3	蜜桃派
4	苹果派
5	巧克力派
6	奥利奥派
7	归一派
8	四方派
9	五岳派
10	灵犀派
11	青龙派
12	白虎派
13	朱雀派
14	玄武派
15	万花派
16	金蛇派
17	万里派
18	六合派
19	龙游派
20	青竹派
21	王屋派
22	九龙派
23	青海派
24	海沙派
25	乌金派
26	空明派
27	松风派
28	清风派
29	流云派
30	冷月派
31	黄桃派
32	香梨派
33	同归门
34	极乐门
35	天罡门
36	北斗门
37	八卦门
38	碧血门
39	金刀门
40	琵琶门
41	赤练门
42	玉碎门
43	血衣门
44	落雁门
45	无影门
46	大前门
47	羽衣门
48	金雁门
49	冲天门
50	形意门
51	三才门
52	混元门
53	五虎门
54	七煞门
55	天龙门
56	断肠门
57	暗流门
58	海棠门
59	牡丹门
60	万花门
61	琉璃门
62	万影门
63	地蛟门
64	玄犀门
65	万宇门
66	星辰门
67	星宿阁
68	凌云阁
69	摘星阁
70	御风阁
71	映月阁
72	曜日阁
73	善水阁
74	听雨阁
75	上清阁
76	灵鹫阁
77	无相阁
78	天山阁
79	如意阁
80	飞星阁
81	临风阁
82	重阳阁
83	轻烟阁
84	蓬莱阁
85	轻烟阁
86	海潮阁
87	冲灵阁
88	移星阁
89	沐雪阁
90	乌鸡阁
91	排云阁
92	浮尘阁
93	星罗阁
94	玄冥派
95	花田阁
96	松山派
97	灵水阁
98	好阁阁
99	任意门
100	万水阁
101	
102	
103	
104	
105	
106	
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	
119	
120	
121	
122	
123	
124	
125	
126	
127	
128	
129	
130	
131	
132	
133	
134	
135	
136	
137	
138	
139	
140	
141	
142	
143	
144	
145	
146	
147	
148	
149	
150	
151	
152	
153	
154	
155	
156	
157	
158	
159	
160	
161	
162	
163	
164	
165	
166	
167	
168	
169	
170	
171	
172	
173	
174	
175	
176	
177	
178	
179	
180	
181	
182	
183	
184	
185	
186	
187	
188	
189	
190	
191	
192	
193	
194	
195	
196	
197	
198	
199	
200	
