ID	阶段	品质	起始等级	终点等级	基础功力	成长功力	升阶解锁内容	起始经验	成长经验
int	int	string	int	int	string	int	string	int	int
Id	Stage	Quality	FromLevel	ToLevel	BaseAtk	GrowAtk	UnlockContent	StartExp	GrowExp
1	1	Normal	1	9	100	2	None|0	50	3
2	2	Normal	10	29	155	3	LearnKongfu|1	111	5
3	3	Normal	30	79	280	6	EquipArmor	309	12
4	4	Normal	80	149	755	15	LearnKongfu|2	1346	47
5	5	Normal	150	239	2350	47	EquipWeapon	6884	207
6	6	Normal	240	359	9200	184	LearnKongfu|3	37961	1025
7	7	Normal	360	499	48000	960	None	239904	5758
8	8	Normal	500	699	312000	6240	LearnKongfu|4	1560399	32768
9	9	Normal	700	1000	3650000	73000	None|4	12121847	218193
10	1	Good	1	9	150	3	None	50	3
11	2	Good	10	29	230	5	LearnKongfu|1	111	5
12	3	Good	30	79	420	9	EquipArmor	309	12
13	4	Good	80	149	1130	23	LearnKongfu|2	1346	47
14	5	Good	150	239	3525	71	EquipWeapon	6884	207
15	6	Good	240	359	13800	276	LearnKongfu|3	37961	1025
16	7	Good	360	499	72000	1440	None	239904	5758
17	8	Good	500	699	468000	9360	LearnKongfu|4	1560399	32768
18	9	Good	700	1000	5475000	109500	None	12121847	218193
19	1	Perfect	1	9	250	5	None	50	3
20	2	Perfect	10	29	380	8	LearnKongfu|1	111	5
21	3	Perfect	30	79	720	14	EquipArmor	309	12
22	4	Perfect	80	149	1887.5	38	LearnKongfu|2	1346	47
23	5	Perfect	150	239	5875	118	EquipWeapon	6884	207
24	6	Perfect	240	359	23000	460	LearnKongfu|3	37961	1025
25	7	Perfect	360	499	120000	2400	None	239904	5758
26	8	Perfect	500	699	780000	15600	LearnKongfu|4	1560399	32768
27	9	Perfect	700	1000	9125000	182500	None	12121847	218193
