ID	名称	描述	图标
int	string	string	string
Id	Name	Desc	Icon
1	丐帮	丐帮为江湖武林间第一大帮，丐帮弟子多为乞丐，遍布三江五湖。丐帮帮主实力超群，却神龙见首不见尾，素有义薄云天的威名。丐帮行为举止介乎正邪之间，常常因为乞讨与其他门派起争执，但却会在其他门派陷入危机时予以援手。丐帮弟子穿着破烂，持普通木棍作为武器，使得一手打狗棒法绝技，有言道：「丐帮所到之处，方圆十里无狗。」	1
2	少林	天下武功出少林。少林派是江湖上历史最为悠久的门派，传承数十代，以「少林七十二绝技」闻名于世，少林僧人实力超绝，玄空方丈更是其中翘楚。少林派不喜争斗，以「和」字与武林同道相交。少林派以禅入武，其中武学博大精深，拳、掌、指、腿、刀、剑、棍无一不精。少林藏经阁是武林中最为神秘的地方，堪称「天下武学宝库」，相传武林中的绝世高手都会潜入少林，研习武学，不过好像大多都留在其中打扫卫生。	2
3	武当	武当长久以来一直被中原武林视为可与少林比肩的一大门派，与少林并称武林的泰山北斗。但武当武功与少林区别很大，少林长于博，武当长于精，武当派武功自来便以少而精著称。武当自创派以来就以其独特的太极武功享誉江湖。武当的武功讲究后发制人，先发者制于人，所以武当的武功无处不体现出侠义精神，其掌门张山峰张真人练功有道，终日睡觉却也可以增长功力，门下称之「龙眠」。	3
4	峨眉	峨嵋派源远流长，峨眉门人遇事果断而行事凌厉，想来应是承自峨眉当代掌门绝绝师太。绝绝师太虽然为人正派，但其手段狠辣，武林中也对此颇有微词。峨眉剑法飘逸灵动、阴柔绵软，形成峨嵋派亦柔亦刚，内外相重的武学特点。峨眉门下只有女弟子是中原武林一大未解之谜，有好事之徒散播男弟子在峨眉无心练功的传闻，虽然不实却也说明峨眉武功姿势优美而威力十足，「临敌只须出半手，纵是越女也失魂」。	4
5	华山	华山派是武林中声名显赫的名门正派，而华山派的武功经过百多年的发展，已经形成一整套完善的体系，华山内功和剑法堪称双绝。 华山剑意取自华山山势奇险，华山内功取自华山云霞厚积。但历代以来，二者兼修者愈发稀少，擅剑法者轻内功，擅内功者轻剑法，时至今日，华山派连掌门都是剑气各出一人担任。因此武林同门与华山派切磋时有个不成文的规定，与华山派比试须得二对二，不然就难以同时领教华山剑气双绝。	5
6	五毒	五毒教，又名「五仙教」，由五毒神君于南诏所创，专攻奇门毒术。 教中弟子将青蛇、蜈蚣、蝎子、蜘蛛、蟾蜍并称「五圣」。五毒教至宝「五宝花蜜酒」，便是用此五种毒物加上数十种奇花异草所酿，是大补之物。为酿此酒，五毒弟子日夜与毒物相处，为免受毒物所伤，五毒弟子都练得一手隔空取物的好鞭法。多年练习，五毒弟子足不出户也能依靠鞭子解决日常活动，所用软鞭也因此染上剧毒，不可触碰。	6
7	魔教	魔教又称摩教，起源于西域以西，与中原武林不睦。盖中原武林笃信儒释道，魔教远来中土为了传教不择手段，凭借一手魔刀，强征武林各派弟子入教，被迫入教的人会被夺取功力，蓄于少数人的身上，魔教教典云「焚尽残躯，熊熊圣火。杳杳光辉，同归日月」，传闻现任教主为「天魔」司马明，及麾下日月法王身上汇聚了上万人的功力，中原武林数次讨伐都在魔教的手下铩羽而归。	7
8	逍遥	逍遥派行事潇洒而低调，因此在江湖上少有人知道。逍遥派的武功讲究轻灵飘逸，闲雅清隽，威力无穷，习得其一，则能在武林中所向披靡。弟子男俊女靓，俊朗不凡，人人潇洒飘逸，聪慧异常。逍遥派弟子不用武器，讲究「乘天地之正，御六气之辩」，借由天地的气进行活动。掌门逍遥子修行多年，几近飞升，因此门派周围的村落中总有山上仙人的传说。	8
96	野兽	野兽	
97	山贼	山贼	
98	刺客	刺客	
99	倭寇	倭寇	
