ID	名字	门派	功夫名称	动画名称	Prefab名称
int	string	string	string	string	string
Id	Name	Clan	KongfuName	AnimationName	PrefabName
101	乔帮主	Gaibang	降龙掌;擒龙功	xianglongzhang_qiaofeng;qinlonggong	Qiaofeng
102	长老洪七	Gaibang	打狗棒法;钓鱼棍法	dagoubangfa;diaoyugunfa	Gaibang1
103	醉丐苏花子	Gaibang	打狗棒法;钓鱼棍法	dagoubangfa;diaoyugunfa	Gaibang1
104	丐帮弟子何流儿|丐帮弟子王小江|丐帮弟子李狗儿|丐帮弟子张小六|丐帮弟子郑哑儿	Gaibang	打狗棒法;钓鱼棍法	dagoubangfa;diaoyugunfa	Gaibang1
105	丐帮弟子左老黑|丐帮弟子袁大楚|丐帮弟子刘大开|丐帮弟子汤老头|丐帮弟子鲁有手	Gaibang	打狗棒法;钓鱼棍法	dagoubangfa;diaoyugunfa	Gaibang2
106	丐帮弟子韩友谅|丐帮弟子刘友直|丐帮弟子孙多闻|丐帮弟子杨火龙|丐帮弟子梁齐一	Gaibang	打狗棒法;钓鱼棍法	dagoubangfa;diaoyugunfa	Gaibang3
201	玄空方丈	Shaolin	如来神掌;禅杖功	rulaishenzhang_fangzhang;chanzhanggong	Xuankong
202	火头僧	Shaolin	罗汉伏魔拳;千手如来掌	laoyuechanfa;jiuyanggong	HuotousengPrefab
203	扫地僧	Shaolin	罗汉伏魔拳;千手如来掌	luohanfumoquan;yijinjing_saodiseng	SaodisengPrefab
204	少林弟子悟真|少林弟子悟缘|少林弟子悟心|少林弟子悟一|少林弟子悟觉	Shaolin	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
205	少林弟子圆智|少林弟子圆普|少林弟子圆广|少林弟子圆静|少林弟子圆海	Shaolin	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin2
206	少林弟子玄明|少林弟子玄正|少林弟子玄济|少林弟子玄朗|少林弟子玄恒	Shaolin	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin3
301	张真人	Wudang	太极剑法;太极拳	taijijianfa_zhangzhenren;taijiquan_zhangzhenren	ZhangZhenRen
302	脏道人	Wudang	太极剑法;太极拳	taijijianfa_zangdaoren;taijiquan_zangdaoren	ZangDaoRen
303	一仙道长	Wudang	太极剑法;太极拳	taijijianfa;taijizhang	Wudang1
304	武当弟子徐希真|武当弟子任希武|武当弟子罗希宝|武当弟子沈希剑|武当弟子方希峰	Wudang	太极剑法;太极拳	taijijianfa;taijizhang	Wudang1
305	武当弟子石希灵|武当弟子邵希平|武当弟子王希静|武当弟子郭希明|武当弟子卢希英	Wudang	太极剑法;太极拳	taijijianfa;taijizhang	Wudang2
306	武当弟子龚微海|武当弟子严微鑫|武当弟子夏微正|武当弟子林微光|武当弟子陶微东	Wudang	太极剑法;太极拳	taijijianfa;taijizhang	Wudang3
401	绝绝师太	Emei	青莲女神剑;白蟒鞭	qingliannvshenjian;baimangbian	Emei1
402	独臂女冠	Emei	青莲女神剑;白蟒鞭	qingliannvshenjian;baimangbian	Emei2
403	峨眉弟子清虚|峨眉弟子清照|峨眉弟子清迦|峨眉弟子清慧|峨眉弟子清净	Emei	青莲女神剑;白蟒鞭	qingliannvshenjian;baimangbian	Emei3
501	丘不君	Huashan	华山剑法;御剑术	huashanjianfa;yujianshu	Shaolin1
502	山不羊	Huashan	华山剑法;御剑术	huashanjianfa;yujianshu	Shaolin1
503	华山弟子于大通|华山弟子曹大有|华山弟子陈大冲|华山弟子曾大莲|华山弟子姚大诚	Huashan	华山剑法;御剑术	huashanjianfa;yujianshu	Huashan1
504	华山弟子田光崇|华山弟子应光和|华山弟子谢光德|华山弟子佘光正|华山弟子黄光仁	Huashan	华山剑法;御剑术	huashanjianfa;yujianshu	Huashan2
505	华山弟子宋光养|华山弟子马光贤|华山弟子孔光纯|华山弟子叶光敬|华山弟子乔光升	Huashan	华山剑法;御剑术	huashanjianfa;yujianshu	Huashan3
601	五毒圣君	Wudu	五毒神鞭;千蛛万毒手	wudushenbian;qianzhuwandushou	Wudu1
602	红药	Wudu	五毒神鞭;千蛛万毒手	wudushenbian;qianzhuwandushou	Wudu1
603	五毒弟子彩凤|五毒弟子珊瑚|五毒弟子孔雀|五毒弟子珍珠|五毒弟子琥珀	Wudu	五毒神鞭;千蛛万毒手	wudushenbian;qianzhuwandushou	Wudu1
604	五毒弟子罗刹|五毒弟子夜叉|五毒弟子修罗|五毒弟子迦楼|五毒弟子摩侯	Wudu	五毒神鞭;千蛛万毒手	wudushenbian;qianzhuwandushou	Wudu2
605	五毒弟子蝎心|五毒弟子蟾鸣|五毒弟子蛇影|五毒弟子千足|五毒弟子牵丝	Wudu	五毒神鞭;千蛛万毒手	wudushenbian;qianzhuwandushou	Wudu3
701	明教主	Mojiao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
702	日轮法王	Mojiao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
703	月轮法王	Mojiao	罗汉伏魔拳;千手如来掌	luohanfumoquan;qianshourulaizhang	Shaolin1
704	魔教弟子风怜|魔教弟子宝音|魔教弟子诺敏|魔教弟子托娅|魔教弟子莎娜	Mojiao	魔刀;寂灭斩	modao;modaoyishan	Mojiao1
705	魔教弟子哲别|魔教弟子牧仁|魔教弟子伯颜|魔教弟子那钦|魔教弟子托雷	Mojiao	魔刀;寂灭斩	modao;modaoyishan	Mojiao2
706	魔教弟子华黎|魔教弟子博术|魔教弟子赤罕|魔教弟子呼兰|魔教弟子速温	Mojiao	魔刀;寂灭斩	modao;modaoyishan	Mojiao3
