ID	名称	描述	开荒前置建筑	工作类型
int	string	string	string	string
Id	Name	Desc	PreFacility	WorkType
1	讲武堂	由破庙改建而来，是议事会客收徒的重要场所。	None	Sweep
2	东厢房甲	盖在讲武堂的东边，所以叫东厢房。	Lobby	Sweep
3	东厢房乙	盖在讲武堂的东边，所以叫东厢房。	Lobby	Sweep
4	东厢房丙	盖在讲武堂的东边，所以叫东厢房。	KongfuLibrary	Sweep
5	东厢房丁	盖在讲武堂的东边，所以叫东厢房。	KongfuLibrary	Sweep
6	西厢房戊	盖在讲武堂的西边，所以叫西厢房。	Lobby	Sweep
7	西厢房己	盖在讲武堂的西边，所以叫西厢房。	Lobby	Sweep
8	西厢房庚	盖在讲武堂的西边，所以叫西厢房。	KongfuLibrary	Sweep
9	西厢房辛	盖在讲武堂的西边，所以叫西厢房。	KongfuLibrary	Sweep
10	仓库	习武之人虽不图荣华富贵，但基本的物资补给还是要有的。	Kitchen	Carry
11	东练功场	日出东方，必出英雄豪杰。	Lobby	Sweep
12	西练功场	月落西山，难觅千杯知音。	Lobby	Sweep
13	藏经阁	传闻有扫地僧隐居于此，武功盖世敌手难寻。	Lobby	Sweep
14	伙房	人是铁，饭是钢，一顿不吃饿得慌。	Lobby	Cook
15	锻造屋	好马配好鞍，宝刀赠英雄，练武之人怎么能没有好装备。	Kitchen	Forge
16	百草屋	行走江湖难免磕磕绊绊，这里有各种神药助你恢复元气。	Kitchen	Pharmacy
17	巡逻房	村子大了，总会有些贼人惦记，一定要守护好我们的家园。	Kitchen	None
18	东箭塔	从东边射你一箭，叫你有来无回。	None	None
19	西箭塔	从西边射你一箭，叫你无力回天。	None	None
