序号	等级	屋舍ID	升级资源	升级花费	升级条件	住宿人数
int	int	int	string	int	int	int
Id	Level	HouseId	UpgradeRes	UpgradeCost	UpgradePreconditions	Capability
1	1	2	1002|10	10	1	3
2	2	2	1001|20	50	1	4
3	3	2	1002|150	500	2	5
4	4	2	1001|400	800	2	6
5	5	2	1004|200	1800	3	7
6	6	2	1003|800	3200	5	8
7	1	3	1001|10	10	1	3
8	2	3	1002|50	200	1	4
9	3	3	1001|250	650	2	5
10	4	3	1004|100	1200	3	6
11	5	3	1003|300	2200	4	7
12	6	3	1004|1000	3600	5	8
13	1	4	1002|50	200	1	3
14	2	4	1001|250	650	2	4
15	3	4	1004|100	1200	3	5
16	4	4	1003|200	1800	3	6
17	5	4	1004|600	2800	4	7
18	6	4	1003|1400	4500	6	8
19	1	5	1001|250	650	2	3
20	2	5	1004|100	1200	3	4
21	3	5	1002|200	1800	3	5
22	4	5	1004|450	2500	4	6
23	5	5	1003|1000	3600	5	7
24	6	5	1004|1600	5000	6	8
25	1	6	1004|100	1200	3	3
26	2	6	1003|200	1800	3	4
27	3	6	1004|450	2500	4	5
28	4	6	1003|800	3200	5	6
29	5	6	1004|1400	4500	6	7
30	6	6	1003|2000	6800	7	8
31	1	7	1003|300	2200	4	3
32	2	7	1004|450	2500	4	4
33	3	7	1003|800	3200	5	5
34	4	7	1004|1200	4000	5	6
35	5	7	1003|1600	5000	6	7
36	6	7	1004|2200	7600	7	8
37	1	8	1004|800	3200	5	3
38	2	8	1003|1000	3600	5	4
39	3	8	1004|1200	4000	5	5
40	4	8	1003|1600	5000	6	6
41	5	8	1004|2000	6800	7	7
42	6	8	1003|2400	8400	7	8
43	1	9	1003|1400	4500	6	3
44	2	9	1004|1600	5000	6	4
45	3	9	1003|1800	6000	6	5
46	4	9	1004|2000	6800	7	6
47	5	9	1003|2200	7600	7	7
48	6	9	1004|2600	10000	8	8
