ID	等级	练功场ID	升级资源	升级花费	升级条件	练功位数量	经验获取值	练功时长，秒
int	int	int	string	int	int	int	int	int
Id	Level	HouseId	UpgradeRes	UpgradeCost	UpgradePreconditions	Capability	LevelUpSpeed	Duration
1	1	11	1001|15;1002|30	200	1	1	250	300
2	2	11	1001|75;1002|150	800	2	2	1250	360
3	3	11	1001|200;1004|200	1800	3	3	3125	420
4	4	11	1001|600;1004|600	3200	5	4	30000	480
5	5	11	1001|1680;1004|1400	5000	6	5	75000	540
6	6	11	1003|660;1004|2200	8400	7	6	250000	600
7	1	12	1003|300;1002|150	2200	4	1	2500	300
8	2	12	1003|500;1002|320	2800	4	2	5000	360
9	3	12	1003|800;1002|480	3600	5	3	12500	420
10	4	12	1003|1200;1002|900	4500	6	4	37500	480
11	5	12	1003|1800;1004|1080	6800	7	5	112500	540
12	6	12	1003|2600;1004|2080	11000	8	6	250000	600
