ID	名称	icon名	说明	出售价格	解锁等级	使用等级	解锁文本	功能文本
int	string	string	string	int	int	int	string	string
Id	Name	IconName	Desc	Price	HomeLevel	UseLevel	UnlockDesc	FunctionDesc
1001	青岩	cyanrock	一种普通的建筑石材，山里面多得很。	5	1	1	采集青岩获得	
1002	乌木	blackwood	盖房子必不可少的木材，生长很快。	5	1	1	采集乌木获得	
1003	云岩	moirerock	盖房子的高级石料，从远处看起来很像云朵。	50	3	3	采集云岩获得	
1004	银木	silverwood	这种木材又硬又漂亮，据说皇宫都是用它造的。	50	3	3	采集银木获得	
1005	紫藤	wisteria	长在悬崖峭壁上的藤，既轻便又有韧性，做铠甲正合适。	30	4	4	采集紫藤获得	
1006	黑铁	iron	这种铁石挖出来就是黑乎乎的，可以打造各种工具。	30	2	2	采集黑铁获得	
1007	银叶	silverleaf	银木上一种特殊的叶子，非常稀有。	200	3	3	采集银木可能获得	
1008	云晶	moirecrystal	采挖云岩的时候有可能会找到它。	200	3	3	采集云岩可能获得	
1009	肉	pork	师娘最擅长用肉做狮子头了，贼好吃。	10	2	2	狩猎野猪获得	
1010	莲藕	lotusroot	有人喜欢吃有人不喜欢，看各人口味吧。	10	2	2	莲藕;池塘收集获得	莲藕;用于制作红烧狮子头
1011	熊掌	bearspaw	我滴乖乖，这玩意儿一般人可吃不着。	250	5	5	狩猎熊获得	
1012	鱼	fish	莲花池里的鱼特别好吃，肉质细嫩还没有刺。	15	4	4	池塘钓鱼获得	
1013	荷叶	lotusleaf	这玩意儿本来没什么用，直到有人发明了叫花鸡。	15	3	3	荷叶;池塘收集获得	荷叶;用于制作叫花鸡
1014	鸡	rawchicken	咱们庄上的鸡都是散养的，肉质特别赞。	15	3	3	捕捉小鸡获得	
1015	蛇胆	snakegall	这可是好东西，可以增强免疫系统，提升功力。	100	4	4	狩猎毒蛇获得	
1016	蜂王浆	royaljelly	就在池塘边那棵槐树上的蜂窝里采的，绝对正宗。	100	4	4	蜂王浆;采集蜂巢获得	蜂王浆;用于制作赤胆壮气丸
1017	莲花	lotus	出淤泥而不染，濯清涟而不妖，好看。	80	5	5	莲花;池塘收集获得	莲花;用于制作莲花清神露
1018	古井水	wellwater	后院里古井打上来的水，据说喝了可以明目醒脑。	80	5	5	打井获得	
1019	鹿茸	antler	我爹最喜欢用它泡酒，补气壮阳。	250	6	7	狩猎鹿获得	
1020	灵芝	lingzhi	野生灵芝是上等的药材，可以用来炼制还魂丹。	250	6	7	采集灵芝获得	
1021	蜂针	beeneedle	金蜂尾部的毒针，采蜜的时候有可能找到它。	250	4	5	采集蜂巢获得	
1022	毒牙	poisonfang	毒蛇的獠牙，打蛇的时候或许能得到它。	250	4	5	狩猎毒蛇获得	
2001	银牌招募令	silverolder	银牌招募令当然就是银的招募令。	300	1	1		
2002	金牌招募令	goldolder	金牌招募令当然就是金的招募令。	500	1	1		
3001	孔雀石	malachite	从孔雀山中采掘而来，用于打磨装备可提升韧性。	200	1	1	抓捕刺客可能获得	
3002	红玛瑙	agate	不可多得的西域奇石，可嵌于装备之中提升功力。	300	1	1	抓捕刺客可能获得	
3003	紫龙晶	charoite	生长于龙穴中，每三年可长一尺，可附于装备上提升威力。	500	1	1	抓捕刺客可能获得	
3101	金丝	goldenthread	集齐九位大师级工匠，以纯金打造，乃上乘宝物。	500	1	8	击败倭寇可能获得	
3102	龙鳞	dragondcales	传闻古时有九龙争斗于苍穹，散落龙鳞下凡，乃稀世珍宝也。	500	1	7	击败倭寇可能获得	
