ID	动画名称	攻击距离	攻击延时	脚步特效	释放特效	受击特效	特效时长	攻击声音
int	string	string	string	string	string	string	string	string
Id	AnimationName	AtkRange	AtkDelay	FootSE	CastSE	HitSE	SETime	AttackSound
1001	taizuchangquan	0.5;0.5;0.9;1	0.15;1;1.75;2.5		TaiZuChangQuan_Left|TaiZuChangQuan_Right		3.33	
1002	paodingjieniu	0.6;1;0.5	0.3;0.7;1.5;2.8			Hit_Light_Left|Hit_Light_Right		
1003	fengshentui	0.4;0.5	0.45;0.55			Hit_Light_Left|Hit_Light_Right		
1004	yanhuijianfa	2	0.6;1.13		YanHuiJianFa_Left|YanHuiJianFa_Right	Hit_Light_Left|Hit_Light_Right	0.9	
1005	qingmangzhi	2	0.4		QingMangZhi_Muzzle_Left|QingMangZhi_Muzzle_Right	QingMangZhi_BulletHit_Left|QingMangZhi_BulletHit_Right	1.1499999999999999	
1006	feiyundu					Hit_Light_Left|Hit_Light_Right		
1007	wulangbaguagun	2.6;2;2.2;2.2	0.5;1;1.4;2			Hit_Light_Left|Hit_Light_Right		
1008	lianhuazhang	0.5;0.4;0.5	0.4;0.8;1.6			Hit_Light_Left|Hit_Light_Right		
1009	kuihuadianxueshou	0.5;0.5;0.5;1	0.5;1.5;1.8;2.2			Hit_Light_Left|Hit_Light_Right		
1010	saoyetui					Hit_Light_Left|Hit_Light_Right		
1011	zuiquan	0.4;0.75;0.7;1.5	0.4;1.1;1.6;3			Hit_Light_Left|Hit_Light_Right		
2001	suiyuquan	0.5;0.4;0.5;0.5	0.6;1.2;1.8;2.4			Hit_Light_Left|Hit_Light_Right		
2002	foshanwuyingjiao	0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5	0.35	WuYingJiao_Smoke	WuYingJiao_Hit_Left|WuYingJiao_Hit_Right	Hit_Light_Left|Hit_Light_Right	1.5	
2003	tanzhishengong	2;2;2;2;2	0.5;0.7;0.9;1.1;1.3			Hit_Light_Left|Hit_Light_Right		
2004	luanpifengjianfa	1;1.5;1.5;1.5;1.5;1.5	0.17;0.56;0.86;1.16;1.35;1.58	LuanPiFengJianFa_DragSmoke	LuanPiFengJianFa_Left|LuanPiFengJianFa_Right	Hit_Light_Left|Hit_Light_Right	2.1	
2005	lieyandaofa	2	0.58;1.22;1.53		LieYanDaoFa_Left|LieYanDaoFa_Right	Hit_Light_Left|Hit_Light_Right	1.55	
2006	yujianshu	2	0.7		YuJianShu_Muzzle_Left|YuJianShu_Muzzle_Right	YuJianShu_Hit_Left|YuJianShu_Hit_Right	3.3	
2007	shierlutantui	0.4;0.6;0.5	0.8;1.4;2;2.1			Hit_Light_Left|Hit_Light_Right		
2008	kaibeishou	0.5;0.5;0.5;1	0.6;1.2;1.7;2.5			Hit_Light_Left|Hit_Light_Right		
