ID	功夫名称	品质	描述	加成比例	升级经验	动画名称	出售价格	图标名称
int	string	string	string	string	string	string	int	string
Id	KongfuName	Quality	Desc	AtkRate	UpgradeExp	AnimationName	Price	IconName
1001	太祖长拳	Normal	要知此拳出何处，名为太祖下南唐。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	taizuchangquan	200	TaiZuChangQuan
1002	庖丁解牛	Normal	目无全牛，游刃有余。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	paodingjieniu	200	PaoDingJieNiu
1003	风神腿	Normal	狂风无相，来去无踪。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	fengshentui	200	FengShenTui
1004	雁回剑法	Normal	剑起惊鸿去，剑落雁复还。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	yanhuijianfa	200	YanHuiJianFa
1005	青芒指	Normal	一点青芒先到，随后指落如雨。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	qingmangzhi	200	QingMangZhi
1006	飞云渡	Normal	白练川上清风疾，脚踏飞云穿空去。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	feiyundu	200	FeiYunDu
1007	五郎八卦棍	Normal	剃发挂单，削枪成棍。太极阴阳，尽归八卦。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	wulangbaguagun	200	WuLangGun
1008	莲花掌	Normal	水中生莲接天碧，藕断丝连劲无穷。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	lianhuazhang	200	LianHuaZhang
1009	葵花点穴手	Normal	指如疾风~势如闪电~	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	kuihuadianxueshou	200	KuiHuaShou
1010	扫叶腿	Normal	困穷之敌，击疲之寇，迅风振秋叶，须臾尽扫。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	saoyetui	200	SaoYeTui
1011	醉拳	Normal	拳无拳，意无意，无拳之中是真意。	1.2;1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5	200;400;800;2000;5000;15000;45000;180000	zuiquan	200	ZuiQuan
2001	碎玉拳	Master	破石碎玉，无坚不摧。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	suiyuquan	800	SuiYuQuan
2002	无影脚	Master	起如风，落如钉，力劲遒。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	foshanwuyingjiao	800	WuYingJiao
2003	弹指神功	Master	轻拢慢捻抹复挑，落英散尽空寥寥。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	tanzhishengong	800	TanZhiShenGong
2004	乱披风剑法	Master	剑光挥夜电，马汗昼成泥。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	luanpifengjianfa	800	LuanPiJian
2005	烈焰刀法	Master	吾心不止，刀刀烈火。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	lieyandaofa	800	LieYanDao
2006	御剑术	Master	以气御剑，化气为剑；剑气相御，方是正解	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	yujianshu	800	YuJianShu
2007	十二路弹腿	Master	手是两扇门，全靠脚踢人~	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	shierlutantui	800	ShiErLuTanTui
2008	开碑手	Master	开碑裂石，胜似刀斧。	1.3;1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8	200;400;800;2000;5000;15000;45000;180000	kaibeishou	800	KaiBeiShou
3001	如来神掌	Super	释迦如来，摩诃无量。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	rulaishenzhang	3000	RuLaiZhang
3002	降龙掌	Super	廿八降龙掌，天下妙无双。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	xianglongzhang	3000	XiangLongZhang
3003	六脉神剑	Super	劲来无形，如刀似剑。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	liumaishenjian	3000	LiuMaiShenJian
3004	独孤九剑	Super	心游万仞，剑破万法。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	dugujiujian	3000	DuGuJiuJian
3005	凌波微步	Super	动无常则，若危若安。进止难期，若往若还。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	lingboweibu	3000	LinBoWeiBu
3006	八荒六合	Super	天长地久，不老长春；八荒六合，唯我独尊。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	bahuangliuhe	3000	BaHuangLiuHe
3007	天残脚	Super	一脚既出，天崩地裂；三界灭绝，是为天残。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	tiancanjiao	3000	TianCanJiao
3008	天山折梅手	Super	天下武功樊笼，藏天山折梅手。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	tianshanzhemeishou	3000	TianShanZheMeiShou
3009	易筋经	Super	清虚脱换，无碍无障，洗髓易筋，当如是也。	1.4;1.5;1.7;1.9;2.1;2.3;2.5;2.8;3.1	200;400;800;2000;5000;15000;45000;180000	yijinjing	3000	YiJinJing
