ID	所属章节	关卡类型	是否可跳过	敌人头像	敌人配置，格式ID:|数量|功力;…	描述	奖励	推荐功力	战斗名称
int	int	string	int	string	string	string	string	string	string
Level	Chapter	Type	Skippable	EnemyHeadIcon	Enemies	Desc	Reward	RecommendAtkValue	BattleName
101	1	Normal	0	gaibang1	104|2|113;105|2|113;106|1|113	丐帮乃天下第一大帮，初次挑战一定要取胜。	Item|1002|50;Exp_Role|100;Exp_Kongfu|40	567	丐帮切磋
102	1	Normal	0	gaibang1	104|2|123;105|2|123;106|1|123	打狗棒法!上来就亮绝学，要加倍小心。	Item|1001|50;Exp_Role|102;Exp_Kongfu|41	613	丐帮切磋
103	1	Boss	0	suhuazi	104|2|133;105|2|133;103|1|133	丐帮弟子卷土重来，准备应战。	Kongfu|1008|1;Exp_Role|104;Exp_Kongfu|41	663	丐帮切磋
104	1	Normal	0	gaibang2	105|2|143;106|3|143	只见头顶的匾额上写着大忠分舵四个大字。	Coin|150;Exp_Role|108;Exp_Kongfu|42	717	丐帮切磋
105	1	Normal	0	gaibang1	104|2|155;106|3|155	见一人自大堂走出来，丐帮众人左右让路，	Food|20;Exp_Role|110;Exp_Kongfu|43	775	丐帮切磋
106	1	Boss	0	qiaobangzhu	105|2|168;106|2|168;101|1|168	一本武功秘籍，想必此事不会如此简单。	Item|2001|1;Exp_Role|112;Exp_Kongfu|43	838	丐帮切磋
107	1	Normal	0	gaibang1	104|3|181;105|2|181	丐帮看似散乱，管理却井井有条，切莫小看。	Item|1002|50;Exp_Role|116;Exp_Kongfu|44	906	丐帮切磋
108	1	Normal	0	gaibang3	104|2|196;105|2|196;106|1|196	敌人越来越难缠了，让他们看看我们的本事。	Item|1001|50;Exp_Role|118;Exp_Kongfu|45	980	丐帮切磋
109	1	Boss	0	suhuazi	104|2|212;105|2|212;103|1|212	几场打斗后弟子们逐渐摸清了丐帮路数。	Kongfu|1011|1;Exp_Role|120;Exp_Kongfu|45	1060	丐帮切磋
110	1	Normal	1	gaibang1	104|3|229;106|2|229	大勇分舵，听起来很厉害的样子。	Coin|150;Exp_Role|124;Exp_Kongfu|46	1146	丐帮切磋
111	1	Normal	1	gaibang2	105|3|248;106|2|248	打狗阵难缠至极，需尽快想出破解之法。	Food|20;Exp_Role|126;Exp_Kongfu|47	1239	丐帮切磋
