章节ID	章节名称ID	章节剧情ID	角标功能ID	奖励	拍照背景	解锁关卡ID
int	string	string	int	string	string	int
ChapterID	ChapterName	CDialogID	CfunctionID	RewardParam	Background	LevelID
1001	1-1	StoryPanel_Text_1;StoryPanel_Text_2;StoryPanel_Text_3;StoryPanel_Text_4	0			0
1002	1-2	1100201;1100202;1100203;1100204;1100205;1100206	2	Clothes,10601,1		1
1003	1-3	1100301;1100302;1100303;1100304;1100305;1100306;1100307	2	Clothes,11701,1		2
1004	1-4	1100401;1100402;1100403;1100404;1100405;1100406;1100407;1100408;1100409;1100410;1100411;1100412;1100413;1100414;1100415	0	Currency,Coin,100		4
1005	1-5	1100501;1100502;1100503;1100504;1100505;1100506;1100507;1100508;1100509;1100510;1100511;1100512;1100513;1100514;1100515;1100516	0	Currency,Coin,100		6
1006	1-6	1100601;1100602;1100603;1100604;1100605	1		GameBG_Party	8
1007	1-7	1100701;1100702;1100703;1100704;1100705;1100706;1100707	0	Currency,Coin,100		10
1008	2-1	1200101;1200102;1200103;1200104;1200105;1200106;1200107;1200108;1200109;1200110	0	Prop,Bottle_s,1		12
1009	2-2	1200201;1200202;1200203;1200204;1200205;1200206	2	Clothes,11101,1;Clothes,11103,1;Clothes,11104,1		15
1010	2-3	1200301;1200302;1200303;1200304;1200305;1200306;1200307;1200308	0	Currency,Coin,100		18
1011	2-4	1200401;1200402;1200403;1200404;1200405;1200406;1200407;1200408;1200409;1200410;1200411;1200412;1200413;1200414;1200415;1200416;1200417;1200418;1200419	0	Currency,Coin,100		21
1012	2-5	1200501;1200502;1200503;1200504;1200505;1200506;1200507	0	Prop,Bottle_s,1		24
1013	2-6	1200601;1200602;1200603;1200604;1200605;1200606;1200607;1200608;1200609;1200610;1200611	0	Currency,Coin,100		27
1014	2-7	1200701;1200702;1200703;1200704;1200705;1200706;1200707;1200708;1200709;1200710	0	Prop,Bottle_b,1		30
1015	2-8	1200801;1200802;1200803;1200804;1200805;1200806;1200807;1200808;1200809;1200810	0	Currency,Coin,100		33
1016	2-9	1200901;1200902;1200903;1200904;1200905;1200906	0	Prop,Umbrella,1		36
1017	2-10	1201001;1201002;1201003;1201004;1201005;1201006;1201007;1201008;1201009;1201010;1201011;1201012;1201013;1201014;1201015;1201016	0	Currency,Coin,100		39
1018	2-11	1201101;1201102;1201103;1201104;1201105;1201106;1201107;1201108;1201109;1201110	0	Prop,Bottle_s,1		42
