ID	讲武堂等级	奖励物品	随机权重
int	int	string	int
Id	LobbyLevel	Reward	Weight
1	1	Item|2001|1	20
2	1	Item|2002|1	10
3	1	Item|1001|100	40
4	1	Item|1002|100	40
5	1	Coin|250	30
6	2	Item|2001|1	20
7	2	Item|2002|1	10
8	2	Item|1001|150	40
9	2	Item|1002|150	40
10	2	Coin|300	30
11	3	Item|2001|1	20
12	3	Item|2002|1	10
13	3	Item|1001|200	40
14	3	Item|1002|200	40
15	3	Item|1003|100	40
16	3	Item|1004|100	40
17	3	Coin|350	30
18	4	Item|2001|1	20
19	4	Item|2002|1	10
20	4	Item|1001|250	30
21	4	Item|1002|250	30
22	4	Item|1003|150	40
23	4	Item|1004|150	40
24	4	Item|3001|3_5	20
25	4	Coin|400	30
26	5	Item|2002|1	20
27	5	Item|1001|300	20
28	5	Item|1002|300	20
29	5	Item|1003|200	40
30	5	Item|1004|200	40
31	5	Item|3001|3_5	20
32	5	Item|3002|2_4	15
33	5	Coin|500	30
34	6	Item|2002|1	20
35	6	Item|1001|350	10
36	6	Item|1002|350	10
37	6	Item|1003|250	40
38	6	Item|1004|250	40
39	6	Item|3001|3_5	20
40	6	Item|3002|2_4	15
41	6	Item|3003|1_2	10
42	6	Item|3102|3_5	10
43	6	Coin|600	30
44	7	Item|2002|1	20
45	7	Item|1003|300	40
46	7	Item|1004|300	40
47	7	Item|3001|3_5	20
48	7	Item|3002|2_4	15
49	7	Item|3003|1_2	10
50	7	Item|3102|3_5	10
51	7	Item|3101|3_5	10
52	7	Coin|800	30
53	8	Item|2002|1	20
54	8	Item|1003|350	40
55	8	Item|1004|350	40
56	8	Item|3001|3_5	20
57	8	Item|3002|2_4	15
58	8	Item|3003|1_2	10
59	8	Item|3102|3_5	10
60	8	Item|3101|3_5	10
61	8	Coin|1000	30
