讲武堂等级	循环序列，1建材、2招募令、3强化材料、4制作材料	建材进度比例基数，格式为木材1、石材1、铜钱、木材2、石材2	建材奖励数量	招募令序列	强化材料序列	制作材料序列
int	string	string	string	string	string	string
LobbyLevel	RewardTypeOrder	BuildResBase	BuildResAmout	RecruitOrder	EquipStrengthenMaterialOrder	EquipForgeMaterialOrder
1	2;1;1;1	30;30;200;0;0	Item|1002|100;Item|1001|100;Coin|500;Item|1004|0;Item|1003|0	Item|2001|1;Item|2001|1;Item|2001|1;Item|2002|1		
2	2;1;1;3;1;1;1	150;150;800;0;0	Item|1002|150;Item|1001|150;Coin|600;Item|1004|0;Item|1003|0	Item|2001|1;Item|2001|1;Item|2001|1;Item|2002|1	Item|3001|5	
3	2;1;1;3;1;1;1	400;400;1800;200;200	Item|1002|200;Item|1001|200;Coin|800;Item|1004|100;Item|1003|100	Item|2001|1;Item|2001|1;Item|2001|1;Item|2002|1	Item|3001|5	
4	2;1;1;3;1;1;1	800;800;2800;500;500	Item|1002|300;Item|1001|300;Coin|1200;Item|1004|150;Item|1003|150	Item|2001|1;Item|2001|1;Item|2002|1	Item|3001|5;Item|3001|5;Item|3002|3	
5	2;1;1;3;1;1;1	1500;1500;4000;1000;1000	Item|1002|400;Item|1001|400;Coin|1500;Item|1004|200;Item|1003|200	Item|2001|1;Item|2001|1;Item|2002|1	Item|3001|5;Item|3001|5;Item|3002|3	
6	2;1;1;3;1;1;4;1	2500;2500;6000;1600;1600	Item|1002|500;Item|1001|500;Coin|1800;Item|1004|300;Item|1003|300	Item|2001|1;Item|2001|1;Item|2002|1	Item|3002|5;Item|3002|5;Item|3003|3	Item|3102|5
7	2;1;1;3;1;1;4;1	0;0;8400;2200;2200	Item|1002|0;Item|1001|0;Coin|2100;Item|1004|400;Item|1003|400	Item|2001|1;Item|2002|1	Item|3002|5;Item|3002|5;Item|3003|3	Item|3102|5;Item|3101|5
8	2;1;1;3;1;1;4;1	0;0;13000;3000;3000	Item|1002|0;Item|1001|0;Coin|2500;Item|1004|500;Item|1003|500	Item|2001|1;Item|2002|1	Item|3002|5;Item|3002|5;Item|3003|3	Item|3102|5;Item|3101|5
