ID	Trigger	CommonParam	RequireGuideId	JumpTrigger
int	string	string	int	string
Id	Trigger	CommonParam	RequireGuideId	JumpTrigger
1	DialogTrigger1		0	
2	TakeNameTrigger		0	
3	DialogTrigger2		0	
4	BuildFacilityTrigger1		0	
5	DialogTrigger3		0	
6	ClickLobbyTrigger1		0	
7	DialogTrigger4		0	
8	ClickTaskBtnTrigger1		0	
9	DialogTrigger5		0	
10	BuildFacilityTrigger2		0	
11	DialogTrigger6		0	
12	ClickLobbyTrigger2		0	
13	DialogTrigger7		0	
14	CollectStoneTrigger		0	
15	KitchenDialogTrigger		0	
16	BuildFacility_KitchenTrigger		0	
17	RandomFightTrigger_IntroduceTrigger		0	
37	RandomFightTrigger_FinishedIntroduce		0	
18	BuildPracticeFieldEastTrigger		0	
33	RecruitmentSystem_IntroduceTrigger1		0	
35	RecruitmentSystem_FinishedTrigger		0	
30	DialogTrigger8		0	
34	SignInSystem_IntroduceTrigger		0	
36	SignInSystem_FinishedTrigger		0	
20	WarehouseDialogTrigger		0	
19	VisitotBtnNormalTipTrigger		0	
21	BuildBaicaohuTrigger		0	
22	BuildPracticeFieldTrigger		0	
23	BuildKungfuLibraryTrigger		0	
24	BuildForgehouseTrigger		0	
25	FoodBuffTrigger		0	
26	CollectSystemTrigger		0	
27	KungFuTrigger_IntroduceTrigger		0	
28	ArmsTrigger_IntroduceTrigger		0	
29	ChallengeSystemTrigger_IntroduceTrigger		0	
31	DiscipleAutoWorkTrigger		0	
32	FoodNotEnoughTrigger_IntroduceTrigger		0	
