ID	GuideID	Trigger	Command	CommonParam	RequireStepId	KeyFrame
int	int	string	string	string	int	bool
Id	GuideID	Trigger	Command	CommonParam	RequireStepId	KeyFrame
10101	1	DialogTrigger1	DialogCommand:StoryPanel_Text_5;MyDelayCommand:2.3;		0	
10201	2	TakeNameTrigger	TakeNameCommand;MyDelayCommand:0.4;		0	
10301	3	DialogTrigger2	DialogCommand:StoryPanel_Text_6;MyDelayCommand:0.4;		0	
10401	4	BuildFacilityTrigger1	GuideClickWorldCommand:#0,-37|-8,StoryPanel_Text_8;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/EastLivableRoom/LivableRoomView1	0	
10402	4	BuildFacilityPanelTrigger1	NormalTipsCommand:StoryPanel_Text_9,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:ConstructionFacilitiesPanel,Bg/AcceptBtn	0	1
10501	5	DialogTrigger3	DialogCommand:StoryPanel_Text_7;MyDelayCommand:0.4;		0	
10601	6	ClickLobbyTrigger1	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_10;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/LobbyView	0	
10602	6	LobbyPanelGetCharacterTrigger1	NormalTipsCommand:StoryPanel_Text_11,11|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:LobbyPanel,Bottom/RecruitmentOrderItem1/RecruitmentBtn	0	1
10701	7	DialogTrigger4	DialogCommand:StoryPanel_Text_12;MyDelayCommand:0.4;		0	
10801	8	ClickTaskBtnTrigger1	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_15;MyDelayCommand:0.4;	EntityRoot/SimSection/RawMatCollectItems/WuWood/Bubble/Sprite	0	
10901	9	DialogTrigger5	DialogCommand:StoryPanel_Text_18;MyDelayCommand:0.4;		0	
11001	10	BuildFacilityTrigger2	GuideClickWorldCommand:#0,-61|-8,StoryPanel_Text_8;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/EastLivableRoom/LivableRoomView2	0	
11002	10	BuildFacilityPanelTrigger2	NormalTipsCommand:StoryPanel_Text_19,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:ConstructionFacilitiesPanel,Bg/AcceptBtn	0	1
11101	11	DialogTrigger6	DialogCommand:StoryPanel_Text_37;MyDelayCommand:0.4;		0	
11201	12	ClickLobbyTrigger2	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_10;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/LobbyView	0	
11202	12	LobbyPanelGetCharacterTrigger2	NormalTipsCommand:StoryPanel_Text_11,-10|109,TRUE;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:LobbyPanel,Bottom/RecruitmentOrderItem2/RecruitmentBtn	0	1
11301	13	DialogTrigger7	DialogCommand:StoryPanel_Text_53;MyDelayCommand:0.4;		0	
11401	14	CollectStoneTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_54;MyDelayCommand:0.4;	EntityRoot/SimSection/RawMatCollectItems/QingRock/Bubble/Sprite	0	
11501	15	KitchenDialogTrigger	DialogCommand:StoryPanel_Text_25,StoryPanel_Text_26;MyDelayCommand:0.4;		0	
11601	16	BuildFacility_KitchenTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_8;MyDelayCommand:0.4;	EntityRoot/SimSection/Facility/KitchenView	0	
11602	16	BuildFacilityPanel_KitchenTrigger	NormalTipsCommand:StoryPanel_Text_19,38|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:ConstructionFacilitiesPanel,Bg/AcceptBtn	0	1
11701	17	RandomFightTrigger_IntroduceTrigger	DialogCommand:StoryPanel_Text_55;MyDelayCommand:0.4;		0	
11702	17	RandomFightTrigger_ClickTaskBtnTrigger2	NormalTipsCommand:StoryPanel_Text_13,117|108,TRUE;GuideButtonCommand:#0,1;MyDelayCommand:0.4;	UINodeFinder:MainMenuPanel,TacticalFunction/TacticalFunctionBtn(Clone)	0	
11703	17	RandomFightTrigger_ClickAcceptBtn	NormalTipsCommand:StoryPanel_Text_14,-78|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:TacticalFunctionPanel,Bg/Down/Accept	0	1
13701	37	RandomFightTrigger_FinishedIntroduce	DialogCommand:StoryPanel_Text_81,StoryPanel_Text_82;MyDelayCommand:0.4;		0	
11801	18	BuildPracticeFieldEastTrigger	DialogCommand:StoryPanel_Text_45,StoryPanel_Text_46;MyDelayCommand:0.4;		0	
13301	33	RecruitmentSystem_IntroduceTrigger1	DialogCommand:StoryPanel_Text_70,StoryPanel_Text_71;MyDelayCommand:0.3;		0	
13302	33	RecruitmentSystem_IntroduceTrigger2	DialogCommand:StoryPanel_Text_72;MyDelayCommand:0.3;		0	
13303	33	RecruitmentSystem_ClickLobbyFacilityTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_73;MyDelayCommand:0.3;	EntityRoot/SimSection/Facility/LobbyView	0	
13304	33	RecruitmentSystem_ClickGetCharacterTrigger	NormalTipsCommand:StoryPanel_Text_74,11|-8;GuideButtonCommand:#0,1;MyDelayCommand:0.3;	UINodeFinder:LobbyPanel,Bottom/RecruitmentOrderItem1/RecruitmentBtn	0	1
13501	35	RecruitmentSystem_FinishedTrigger	DialogCommand:StoryPanel_Text_75,StoryPanel_Text_76;MyDelayCommand:0.3;		0	
13001	30	DialogTrigger8	DialogCommand:StoryPanel_Text_57;MyDelayCommand:0.4;		0	
13002	30	SendCharacterWorkTrigger	GuideClickWorldCommand:#0,38|-8,StoryPanel_Text_58;MyDelayCommand:0.4;	EntityRoot/SimSection/WorkingBubbles/bubble5/workingbubble	0	1
13401	34	SignInSystem_IntroduceTrigger	DialogCommand:StoryPanel_Text_77;MyDelayCommand:0.3;		0	
